cve_id,published_date,last_modified_date,description,vuln_status,severity,cvss_version,cvss_score,attack_vector,access_complexity,confidentiality_impact,integrity_impact,availability_impact,source_identifier,reference_urls,created_at
CVE-1999-1391,1990-10-03T04:00:00.000,2025-04-03T01:03:51.193,Vulnerability in NeXT 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/b-01.shtml, http://www.cert.org/advisories/CA-1990-06.html, http://www.iss.net/security_center/static/7143.php, http://www.securityfocus.com/bid/10, http://ciac.llnl.gov/ciac/bulletins/b-01.shtml, http://www.cert.org/advisories/CA-1990-06.html, http://www.iss.net/security_center/static/7143.php, http://www.securityfocus.com/bid/10",
CVE-1999-1392,1990-10-03T04:00:00.000,2025-04-03T01:03:51.193,Vulnerability in restore0.9 installation script in NeXT 1.0a and 1.0 allows local users to gain root privileges.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/b-01.shtml, http://www.cert.org/advisories/CA-1990-06.html, http://www.iss.net/security_center/static/7144.php, http://www.securityfocus.com/bid/9, http://ciac.llnl.gov/ciac/bulletins/b-01.shtml, http://www.cert.org/advisories/CA-1990-06.html, http://www.iss.net/security_center/static/7144.php, http://www.securityfocus.com/bid/9",
CVE-1999-1057,1990-10-25T04:00:00.000,2025-04-03T01:03:51.193,VMS 4.0 through 5.3 allows local users to gain privileges via the ANALYZE/PROCESS_DUMP dcl command.,Deferred,MEDIUM,2.0,4.6,LOCAL,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/b-04.shtml, http://www.cert.org/advisories/CA-1990-07.html, http://www.iss.net/security_center/static/7137.php, http://www.securityfocus.com/bid/12, http://ciac.llnl.gov/ciac/bulletins/b-04.shtml, http://www.cert.org/advisories/CA-1990-07.html, http://www.iss.net/security_center/static/7137.php, http://www.securityfocus.com/bid/12",
CVE-1999-1554,1990-10-31T05:00:00.000,2025-04-03T01:03:51.193,"/usr/sbin/Mail on SGI IRIX 3.3 and 3.3.1 does not properly set the group ID to the group ID of the user who started Mail, which allows local users to read the mail of other users.",Deferred,LOW,2.0,2.1,LOCAL,LOW,PARTIAL,NONE,NONE,cve@mitre.org,"http://www.cert.org/advisories/CA-1990-08.html, http://www.iss.net/security_center/static/3164.php, http://www.securityfocus.com/bid/13, http://www.cert.org/advisories/CA-1990-08.html, http://www.iss.net/security_center/static/3164.php, http://www.securityfocus.com/bid/13",
CVE-1999-1197,1990-12-20T05:00:00.000,2025-04-03T01:03:51.193,"TIOCCONS in SunOS 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1990-12.html, http://www.iss.net/security_center/static/7140.php, http://www.securityfocus.com/bid/14, http://www.cert.org/advisories/CA-1990-12.html, http://www.iss.net/security_center/static/7140.php, http://www.securityfocus.com/bid/14",
CVE-1999-1115,1990-12-31T05:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in the /etc/suid_exec program in HP Apollo Domain/OS sr10.2 and sr10.3 beta, related to the Korn Shell (ksh).",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1990-04.html, http://www.ciac.org/ciac/bulletins/a-30.shtml, http://www.iss.net/security_center/static/6721.php, http://www.securityfocus.com/bid/7, http://www.cert.org/advisories/CA-1990-04.html, http://www.ciac.org/ciac/bulletins/a-30.shtml, http://www.iss.net/security_center/static/6721.php, http://www.securityfocus.com/bid/7",
CVE-1999-1258,1991-01-15T05:00:00.000,2025-04-03T01:03:51.193,"rpc.pwdauthd in SunOS 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information.",Deferred,MEDIUM,2.0,5.0,NETWORK,LOW,PARTIAL,NONE,NONE,cve@mitre.org,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/102, https://exchange.xforce.ibmcloud.com/vulnerabilities/1782, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/102, https://exchange.xforce.ibmcloud.com/vulnerabilities/1782",
CVE-1999-1438,1991-02-22T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in /bin/mail in SunOS 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/105, http://www.cert.org/advisories/CA-91.01a.SunOS.mail.vulnerability, http://www.securityfocus.com/bid/15, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/105, http://www.cert.org/advisories/CA-91.01a.SunOS.mail.vulnerability, http://www.securityfocus.com/bid/15",
CVE-1999-1211,1991-03-27T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in in.telnetd in SunOS 4.1.1 and earlier allows local users to gain root privileges.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1991-02.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/574, http://www.cert.org/advisories/CA-1991-02.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/574",
CVE-1999-1212,1991-03-27T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in in.rlogind in SunOS 4.0.3 and 4.0.3c allows local users to gain root privileges.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1991-02.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/574, http://www.cert.org/advisories/CA-1991-02.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/574",
CVE-1999-1194,1991-05-01T04:00:00.000,2025-04-03T01:03:51.193,"chroot in Digital Ultrix 4.1 and 4.0 is insecurely installed, which allows local users to gain privileges.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1991-05.html, http://www.securityfocus.com/bid/17, https://exchange.xforce.ibmcloud.com/vulnerabilities/577, http://www.cert.org/advisories/CA-1991-05.html, http://www.securityfocus.com/bid/17, https://exchange.xforce.ibmcloud.com/vulnerabilities/577",
CVE-1999-1193,1991-05-14T04:00:00.000,2025-04-03T01:03:51.193,"The ""me"" user in NeXT NeXTstep 2.1 and earlier has wheel group privileges, which could allow the me user to use the su command to become root.",Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1991-06.html, http://www.securityfocus.com/bid/20, https://exchange.xforce.ibmcloud.com/vulnerabilities/581, http://www.cert.org/advisories/CA-1991-06.html, http://www.securityfocus.com/bid/20, https://exchange.xforce.ibmcloud.com/vulnerabilities/581",
CVE-1999-1123,1991-05-20T04:00:00.000,2025-04-03T01:03:51.193,The installation of Sun Source (sunsrc) tapes allows local users to gain root privileges via setuid root programs (1) makeinstall or (2) winstall.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/107&type=0&nav=sec.sba, http://www.cert.org/advisories/CA-1991-07.html, http://www.securityfocus.com/bid/21, http://www.securityfocus.com/bid/22, https://exchange.xforce.ibmcloud.com/vulnerabilities/582, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/107&type=0&nav=sec.sba, http://www.cert.org/advisories/CA-1991-07.html, http://www.securityfocus.com/bid/21, http://www.securityfocus.com/bid/22, https://exchange.xforce.ibmcloud.com/vulnerabilities/582",
CVE-1999-1034,1991-05-23T04:00:00.000,2025-04-03T01:03:51.193,Vulnerability in login in AT&T System V Release 4 allows local users to gain privileges.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1991-08.html, http://www.ciac.org/ciac/bulletins/b-28.shtml, http://www.securityfocus.com/bid/23, https://exchange.xforce.ibmcloud.com/vulnerabilities/583, http://www.cert.org/advisories/CA-1991-08.html, http://www.ciac.org/ciac/bulletins/b-28.shtml, http://www.securityfocus.com/bid/23, https://exchange.xforce.ibmcloud.com/vulnerabilities/583",
CVE-1999-1415,1991-08-23T04:00:00.000,2025-04-03T01:03:51.193,Vulnerability in /usr/bin/mail in DEC ULTRIX before 4.2 allows local users to gain privileges.,Deferred,MEDIUM,2.0,4.6,LOCAL,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://www.cert.org/advisories/CA-91.13.Ultrix.mail.vulnerability, http://www.securityfocus.com/bid/27, http://www.cert.org/advisories/CA-91.13.Ultrix.mail.vulnerability, http://www.securityfocus.com/bid/27",
CVE-1999-1090,1991-09-10T04:00:00.000,2025-04-03T01:03:51.193,"The default configuration of NCSA Telnet package for Macintosh and PC enables FTP, even though it does not include an ""ftp=yes"" line, which allows remote attackers to read and modify arbitrary files.",Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://www.cert.org/advisories/CA-1991-15.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/1844, http://www.cert.org/advisories/CA-1991-15.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/1844",
CVE-1999-0498,1991-09-27T04:00:00.000,2025-04-03T01:03:51.193,"TFTP is not running in a restricted directory, allowing a remote attacker to access sensitive information such as password files.",Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0498, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0498",
CVE-1999-1468,1991-10-22T04:00:00.000,2025-04-03T01:03:51.193,"rdist in various UNIX systems uses popen to execute sendmail, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable.",Deferred,MEDIUM,2.0,6.2,LOCAL,HIGH,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.alw.nih.gov/Security/8lgm/8lgm-Advisory-01.html, http://www.cert.org/advisories/CA-91.20.rdist.vulnerability, http://www.iss.net/security_center/static/7160.php, http://www.osvdb.org/8106, http://www.securityfocus.com/bid/31, http://www.alw.nih.gov/Security/8lgm/8lgm-Advisory-01.html, http://www.cert.org/advisories/CA-91.20.rdist.vulnerability, http://www.iss.net/security_center/static/7160.php, http://www.osvdb.org/8106, http://www.securityfocus.com/bid/31",
CVE-1999-0167,1991-12-06T05:00:00.000,2025-04-03T01:03:51.193,"In SunOS, NFS file handles could be guessed, giving unauthorized access to the exported file system.",Deferred,MEDIUM,2.0,4.6,LOCAL,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0167, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0167",
CVE-1999-1493,1991-12-18T05:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in crp in Hewlett Packard Apollo Domain OS SR10 through SR10.3 allows remote attackers to gain root privileges via insecure system calls, (1) pad_$dm_cmd and (2) pad_$def_pfk().",Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1991-23.html, http://www.securityfocus.com/bid/34, https://exchange.xforce.ibmcloud.com/vulnerabilities/7158, http://www.cert.org/advisories/CA-1991-23.html, http://www.securityfocus.com/bid/34, https://exchange.xforce.ibmcloud.com/vulnerabilities/7158",
CVE-1999-1032,1991-12-31T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in LAT/Telnet Gateway (lattelnet) on Ultrix 4.1 and 4.2 allows attackers to gain root privileges.,Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/b-36.shtml, http://www.cert.org/advisories/CA-1991-11.html, http://www.securityfocus.com/bid/26, https://exchange.xforce.ibmcloud.com/vulnerabilities/584, http://ciac.llnl.gov/ciac/bulletins/b-36.shtml, http://www.cert.org/advisories/CA-1991-11.html, http://www.securityfocus.com/bid/26, https://exchange.xforce.ibmcloud.com/vulnerabilities/584",
CVE-1999-1059,1992-02-25T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in rexec daemon (rexecd) in AT&T TCP/IP 4.0 for various SVR4 systems allows remote attackers to execute arbitrary commands.,Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1992-04.html, http://www.iss.net/security_center/static/3159.php, http://www.securityfocus.com/bid/36, http://www.cert.org/advisories/CA-1992-04.html, http://www.iss.net/security_center/static/3159.php, http://www.securityfocus.com/bid/36",
CVE-1999-0627,1992-03-01T05:00:00.000,2025-04-03T01:03:51.193,"The rexd service is running, which uses weak authentication that can allow an attacker to execute commands.",Deferred,LOW,2.0,0.0,NETWORK,LOW,NONE,NONE,NONE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0627, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0627",
CVE-1999-1121,1992-03-19T05:00:00.000,2025-04-03T01:03:51.193,The default configuration for UUCP in AIX before 3.2 allows local users to gain root privileges.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1992-06.html, http://www.osvdb.org/891, http://www.securityfocus.com/bid/38, https://exchange.xforce.ibmcloud.com/vulnerabilities/554, http://www.cert.org/advisories/CA-1992-06.html, http://www.osvdb.org/891, http://www.securityfocus.com/bid/38, https://exchange.xforce.ibmcloud.com/vulnerabilities/554",
CVE-1999-0117,1992-03-31T05:00:00.000,2025-04-03T01:03:51.193,AIX passwd allows local users to gain root access.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0117, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0117",
CVE-1999-1119,1992-04-27T04:00:00.000,2025-04-03T01:03:51.193,"FTP installation script anon.ftp in AIX insecurely configures anonymous FTP, which allows remote attackers to execute arbitrary commands.",Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1992-09.html, http://www.securityfocus.com/bid/41, https://exchange.xforce.ibmcloud.com/vulnerabilities/3154, http://www.cert.org/advisories/CA-1992-09.html, http://www.securityfocus.com/bid/41, https://exchange.xforce.ibmcloud.com/vulnerabilities/3154",
CVE-1999-1142,1992-05-27T04:00:00.000,2025-04-03T01:03:51.193,"SunOS 4.1.2 and earlier allows local users to gain privileges via ""LD_*"" environmental variables to certain dynamically linked setuid or setgid programs such as (1) login, (2) su, or (3) sendmail, that change the real and effective user ids to the same user.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/116, http://www.cert.org/advisories/CA-1992-11.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/3152, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/116, http://www.cert.org/advisories/CA-1992-11.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/3152",
CVE-1999-0168,1992-06-04T04:00:00.000,2025-04-03T01:03:51.193,"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export restrictions.",Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0168, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0168",
CVE-1999-0214,1992-07-21T04:00:00.000,2025-04-03T01:03:51.193,Denial of service by sending forged ICMP unreachable packets.,Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"https://www.cve.org/CVERecord?id=CVE-1999-0214, https://www.cve.org/CVERecord?id=CVE-1999-0214",
CVE-1999-1396,1992-07-21T04:00:00.000,2025-04-03T01:03:51.193,Vulnerability in integer multiplication emulation code on SPARC architectures for SunOS 4.1 through 4.1.2 allows local users to gain root access or cause a denial of service (crash).,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1992-15.html, http://www.iss.net/security_center/static/7150.php, http://www.securityfocus.com/bid/49, http://www.cert.org/advisories/CA-1992-15.html, http://www.iss.net/security_center/static/7150.php, http://www.securityfocus.com/bid/49",
CVE-1999-1395,1992-11-17T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in Monitor utility (SYS$SHARE:SPISHR.EXE) in VMS 5.0 through 5.4-2 allows local users to gain privileges.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://osvdb.org/59332, http://www.cert.org/advisories/CA-1992-18.html, http://www.cert.org/advisories/CA-92.16.VMS.Monitor.vulnerability, http://www.iss.net/security_center/static/7136.php, http://www.securityfocus.com/bid/51, http://osvdb.org/59332, http://www.cert.org/advisories/CA-1992-18.html, http://www.cert.org/advisories/CA-92.16.VMS.Monitor.vulnerability, http://www.iss.net/security_center/static/7136.php, http://www.securityfocus.com/bid/51",
CVE-1999-1306,1992-12-10T05:00:00.000,2025-04-03T01:03:51.193,"Cisco IOS 9.1 and earlier does not properly handle extended IP access lists when the IP route cache is enabled and the ""established"" keyword is set, which could allow attackers to bypass filters.",Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://www.cert.org/advisories/CA-1992-20.html, http://www.cert.org/advisories/CA-1992-20.html",
CVE-1999-1466,1992-12-10T05:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in Cisco routers versions 8.2 through 9.1 allows remote attackers to bypass access control lists when extended IP access lists are used on certain interfaces, the IP route cache is enabled, and the access list uses the ""established"" keyword.",Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://www.cert.org/advisories/CA-1992-20.html, http://www.securityfocus.com/bid/53, http://www.cert.org/advisories/CA-1992-20.html, http://www.securityfocus.com/bid/53",
CVE-1999-1021,1992-12-30T05:00:00.000,2025-04-03T01:03:51.193,"NFS on SunOS 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit UID, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the NFS jumbo patch upgrade.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/117&type=0&nav=sec.sba, http://www.cert.org/advisories/CA-1992-15.html, http://www.securityfocus.com/bid/47, https://exchange.xforce.ibmcloud.com/vulnerabilities/82, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/117&type=0&nav=sec.sba, http://www.cert.org/advisories/CA-1992-15.html, http://www.securityfocus.com/bid/47, https://exchange.xforce.ibmcloud.com/vulnerabilities/82",
CVE-1999-1056,1992-12-31T05:00:00.000,2023-11-07T01:55:06.290,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1395.  Reason: This candidate is a duplicate of CVE-1999-1395.  Notes: All CVE users should reference CVE-1999-1395 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,Rejected,,,,,,,,,cve@mitre.org,,
CVE-1999-0312,1993-01-13T05:00:00.000,2025-04-03T01:03:51.193,HP ypbind allows attackers with root privileges to modify NIS data.,Deferred,MEDIUM,2.0,5.0,NETWORK,LOW,PARTIAL,NONE,NONE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0312, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0312",
CVE-1999-1507,1993-02-03T05:00:00.000,2025-04-03T01:03:51.193,Sun SunOS 4.1 through 4.1.3 allows local attackers to gain root access via insecure permissions on files and directories such as crash.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1993-03.html, http://www.securityfocus.com/bid/59, https://exchange.xforce.ibmcloud.com/vulnerabilities/521, http://www.cert.org/advisories/CA-1993-03.html, http://www.securityfocus.com/bid/59, https://exchange.xforce.ibmcloud.com/vulnerabilities/521",
CVE-1999-1218,1993-02-18T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in finger in Commodore Amiga UNIX 2.1p2a and earlier allows local users to read arbitrary files.,Deferred,LOW,2.0,2.1,LOCAL,LOW,PARTIAL,NONE,NONE,cve@mitre.org,"http://www.cert.org/advisories/CA-1993-04.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/522, http://www.cert.org/advisories/CA-1993-04.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/522",
